"","waldStat","df","pvalue","meanLogFC"
"ENSG00000291143",7405.64856730867,5,0,1.09845201975367
"LAIR1",2806.29823047528,5,0,0.492351793820229
"SLC30A7",1108.18895913288,5,0,0.26330866986621
"HSP90AA1",1097.37909297799,5,0,1.19559297267003
"FTH1",728.461524634098,5,0,1.50282302672349
"TTR",677.557083015068,5,0,0.517610298105769
"FTL",633.647817566816,5,0,1.77894886112996
"MALAT1",505.840306872182,5,0,0.325935500392188
"HSPB1",501.815252377099,5,0,1.28467945520776
"HSP90AB1",456.910683735347,5,0,0.89723691468473
"DGUOK",447.686470373883,5,0,0.560521477929538
"CBARP-DT",402.451200272806,5,0,11.0498567563491
"TALAM1",401.660334255343,5,0,0.563628791510157
"SERPINH1",395.773694749281,5,0,2.08212043732239
"ZNF750",392.463155685728,5,0,0.884400919607825
"HSPE1",390.779872760715,5,0,1.15013048108406
"NEAT1",389.139278196497,5,0,1.08489779471281
"NCAM1",368.417703654401,5,0,0.598736100730049
"MT-CO1",355.028071320077,5,0,0.886665263241889
"TF",354.395511932766,5,0,1.13050333529115
"HSPA8",349.827401535254,5,0,0.652581955953706
"MT-CO3",347.301896273049,5,0,1.07225612619668
"CKB",328.871750303057,5,0,0.778716744336012
"HSPH1",323.097657682949,5,0,1.35267337612337
"ZSWIM6",319.827208300718,5,0,0.687124286197691
"TMTC2",299.531380436565,5,0,0.38675262811654
"CRYAB",295.115154069266,5,0,3.08507662454727
"HSPA1A",286.302481912971,5,0,1.24937928168034
"WIF1",264.150573734005,5,0,0.952787364428489
"NAV2",250.026828016824,5,0,0.639016184263074
"HSPA1B",242.871257646009,5,0,1.54854185401419
"ADGRL3",237.469390188839,5,0,0.36661577826077
"WSB1",217.065887711585,5,0,0.357849486443639
"ADGRL2",215.848334847717,5,0,0.45093707274239
"CLVS1",210.607830332789,5,0,0.900309053701337
"HSPD1",209.83222796824,5,0,0.991770278655323
"MT-ATP6",207.923498082466,5,0,1.2786218121747
"GRIA1",204.3493571777,5,0,0.877186880986919
"SLC3A2",204.143579419593,5,0,1.54004948862478
"TRPM3",193.839752166445,5,0,0.651136517945097
"ACTG1",191.046361961854,5,0,0.273334490123945
"PHAX",189.698839376826,5,0,0.326260343030735
"DKK3",189.218705159528,5,0,0.531976256081569
"MSI2",183.285251907284,5,0,0.219190206207373
"LINC00511",181.576393785329,5,0,0.415866807564255
"ACTB",178.63100322948,5,0,0.281073393945319
"GABRG3",176.908223244477,5,0,0.546481572088544
"RPL37A",174.150173322589,5,0,0.460413524834709
"ELL2",171.958529094474,5,0,0.644825063614222
"ADAMTS18",170.401712022522,5,0,0.949419298390429
"RORB",167.829831796145,5,0,0.489786185858168
"SYT1",167.351619427436,5,0,0.604852063245346
"CST3",165.199466795624,5,0,0.342067503677466
"ADGRB3",164.722722208811,5,0,0.600865320956857
"MT-CO2",164.228963150712,5,0,0.956311351278342
"DNAJA1",163.486678089255,5,0,0.677214231242724
"RPS11",163.4621680903,5,0,0.529913102380316
"MYO1E",161.551492675987,5,0,0.589953137301194
"FSTL5",160.031172616296,5,0,2.19963251415314
"RARB",159.719760036367,5,0,0.879681460123805
"PLCG2",159.353735171176,5,0,0.628490082027143
"SQSTM1",158.19639696376,5,0,1.19951420335796
"NRXN3",158.057527013922,5,0,1.01246948247407
"GRID2",158.00388129471,5,0,1.95403886543807
"TOX",157.633664926012,5,0,0.466544348899732
"MT-CYB",155.620584673162,5,0,0.723924454933696
"NQO1",155.231070138136,5,0,3.80588967175365
"SOX5",155.174596773984,5,0,0.429153206442318
"CADPS",155.096819833218,5,0,3.1959861100382
"KAZN",155.055580410519,5,0,0.499274127862981
"ENSG00000289041",153.641535585939,5,0,2.75272566478574
"SPON1",149.838546336239,5,0,0.742850533111362
"IGFBP2",149.588286624438,5,0,0.487130700511706
"RTN4",149.228287728043,5,0,0.306987491579079
"SLC22A23",149.184757509225,5,0,0.556955377374402
"ST6GALNAC3",148.769282230753,5,0,0.537826210049329
"KLF7",147.840193762706,5,0,0.722960324393038
"MPPED2",143.444412806784,5,0,1.03663303732098
"MAP2",141.884261077757,5,0,0.46535273474756
"TMCC3",141.600787698917,5,0,0.660236525406912
"PMEL",139.321413377475,5,0,0.50228377681354
"GALNT13",139.312823533888,5,0,0.812083538752027
"ENO1",138.977119401654,5,0,0.574422793814515
"PTCHD4",137.771472559994,5,0,0.624291069093059
"EYS",137.670979942213,5,0,2.36972876942797
"ILDR2",136.713545299481,5,0,0.649174281109483
"DACH1",135.984635014909,5,0,0.201931956108464
"NR4A1",135.691066197731,5,0,1.30899626281149
"LINC00472",133.577067091072,5,0,0.810144943178045
"CD63",133.403839234619,5,0,0.527237869993996
"RPL41",132.618988766873,5,0,0.545238436571244
"COL11A1",132.346407880055,5,0,0.392946537444197
"CRACD",132.2296341031,5,0,0.473890015945422
"NCALD",131.367414877644,5,0,0.653661631200354
"ROBO2",129.924814702097,5,0,1.6400692709285
"LINC01697",129.145249958296,5,0,0.263595604029127
"PLEKHA1",128.802842671371,5,0,0.691793055784096
"H1-2",128.191170201142,5,0,1.26891954202641
"H3-3B",127.070575170797,5,0,0.275335469239266
"SORCS2",126.720081537274,5,0,0.718314367560139
"FLRT2",126.115354368012,5,0,0.603074867370359
"PRSS35",125.620309811968,5,0,0.729388830637728
"PMEPA1",125.322404428844,5,0,0.572847796104568
"PEX5L",124.343982195094,5,0,2.82846735783125
"ZNF536",122.646556476224,5,0,0.49388594167924
"PCBP3",122.445632430543,5,0,1.27867284689634
"CHORDC1",122.311515615685,5,0,1.26585079527818
"REV3L",121.150109767121,5,0,0.323174859329977
"RPS27L",118.667817000212,5,0,1.75287103233263
"SIK3",118.448935852997,5,0,0.505883354743867
"IMPG2",118.372020406366,5,0,2.22307863608167
"FKBP4",117.819526348052,5,0,1.87597613688377
"COL6A6",116.385057760366,5,0,0.934969873865485
"IGSF9B",115.424465815311,5,0,1.32901644395279
"DNAJB1",114.949907538863,5,0,1.38891952523138
"NAALADL2",114.89532166069,5,0,0.779153123019591
"CADM2",114.464661340084,5,0,0.389293424394609
"HSPA4L",113.469507126089,5,0,1.48485393790639
"FOXP2",113.456403554785,5,0,0.34456599437378
"CRB1",113.306061261364,5,0,0.343550646402014
"PRKN",113.061187776872,5,0,0.795736421892984
"SFRP2",111.262030770589,5,0,0.486542857108003
"LGR4",109.527909628172,5,0,0.355439361743591
"ZHX2",109.333055528579,5,0,0.35906042141337
"SHROOM3",108.602915178208,5,0,0.224124112513569
"AHSA1",108.449288148215,5,0,0.667518095496313
"TXNRD1",108.121128053308,5,0,1.57775363120695
"OAF",107.760906533889,5,0,0.837910854859275
"CASC15",107.581445417767,5,0,0.275819274754209
"ERF",107.159245813215,5,0,0.316149339982299
"PCDH11X",107.066701319025,5,0,0.250092964384802
"EFNA5",106.381288208755,5,0,0.489330849921047
"PTPRF",106.35727462935,5,0,0.8316530100455
"MAPK10",106.199968156348,5,0,0.523018755428442
"SERPINF1",105.967143232381,5,0,0.421053436125261
"ZNF385B",105.929274886641,5,0,3.78553819247673
"FERMT2",105.649067416452,5,0,0.490319779588217
"SSH2",105.486263522082,5,0,0.725341546664751
"COL2A1",104.823304042227,5,0,0.838561882206319
"RPL38",104.798446268614,5,0,0.574910529932902
"MAP1B",104.532245763974,5,0,0.281532756739489
"RPL39",104.368321071379,5,0,0.850443219768616
"RHPN2",104.144901773139,5,0,0.717596024431287
"MACROD2",101.594558297118,5,0,1.1006794022608
"SIK2",100.762705630041,5,0,0.444140386252766
"NRCAM",100.650749086233,5,0,0.540934188310554
"GRIK2",99.9081988021935,5,0,1.16228098003391
"CACYBP",99.8556539696547,5,0,1.53742685369485
"PARD3B",99.8218443002688,5,0,0.312949468631086
"TENM4",99.7511691948166,5,0,0.567786574458976
"TAFA4",99.7369655661369,5,0,2.88016789830795
"SLC5A3",99.617783624306,5,0,1.17851993330532
"RPS28",99.3250748526116,5,0,0.60025909625481
"MT-ND3",97.4275336691862,5,0,0.825156020250678
"CRABP1",97.1867728881844,5,0,0.409150057648331
"MIAT",96.6198701800458,5,0,0.722990541136284
"RPL37",96.1678976157345,5,0,0.600671132655339
"SLC7A11",96.0249184229397,5,0,1.40599096233817
"HSPA6",95.8666739990294,5,0,8.47712980508316
"MYO5B",95.5924669454953,5,0,0.660272098161356
"MIR34AHG",95.5242859123682,5,0,1.8336300010508
"DYNLL1",95.2552718940178,5,0,0.463366491894856
"GPC6",92.4587869161351,5,0,0.387555886863249
"PTGES3",92.3541915622536,5,0,0.599291583768391
"ZNF608",92.1198835489486,5,0,0.283093599826313
"RLBP1",91.5515106493585,5,0,1.06380223965978
"PTPRZ1",91.4305087547327,5,0,0.587941189412563
"P2RY14",91.1470837160614,5,0,1.39574623744102
"CBLL1",90.9231789554315,5,0,0.63293642221539
"RPS18",90.8242306462926,5,0,0.745243388324489
"ARHGAP32",90.6614289486115,5,0,0.566146023207397
"RPS19",90.5315543413017,5,0,0.448280175580514
"RASGRF2",90.4888784905261,5,0,1.69906086827905
"NOTCH1",90.3661000688953,5,0,0.607848380775351
"NES",90.3047391589373,5,0,0.442462242034989
"DCT",90.0140215102713,5,0,1.24634279946191
"SLC16A1",90.0042873873026,5,0,0.550501243076825
"ATRNL1",89.5299892389612,5,0,0.399824485081187
"STAC2",89.1052816361589,5,0,1.35647391162931
"COL18A1",88.8202828966982,5,0,0.71401002886037
"SRGAP3",88.6988046874712,5,0,0.484858362124729
"GOLGA8A",88.6308491704899,5,0,1.4482556925341
"KIAA1217",88.5182629902765,5,0,0.376364334260826
"TTYH1",88.4852821943414,5,0,0.430449446639117
"LINC01876",88.1388879917631,5,0,0.872842572470696
"CPA6",88.0335923091734,5,0,0.803867383941299
"SLC2A1",87.9060962602325,5,0,0.293367206313264
"MID1",87.4880281762926,5,0,0.363530737624718
"PBX1",87.3840604239722,5,0,0.336327727424886
"NR4A3",87.1401139817099,5,0,1.68181941570294
"ABCA4",87.0844014108097,5,0,2.25215878299631
"IGFBP5",86.9338976832469,5,0,0.539100196101758
"NTM",86.1871560289037,5,0,1.56041693531646
"FOXP1",86.0407506578849,5,0,0.429047781072881
"FRMD4A",85.8464330532042,5,0,0.490973144581359
"ENSG00000269688",85.7567954725564,5,0,1.1566560643268
"PRKCA",85.7232163176013,5,0,0.604896767170832
"MFHAS1",85.5274732089138,5,1.11022302462516e-16,0.360893166927151
"AGAP1",84.9314009729278,5,1.11022302462516e-16,0.678055498656241
